,Image,Title,Directors,Rating,Description,Genre
0,"https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",John Wick 4, Chad Stahelski ,8.3,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Crime
1,"https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",John Wick 4, Chad Stahelski ,8.3,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Thriller
2,"https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",John Wick 4, Chad Stahelski ,8.3,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Action
3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Avatar: El sentido del agua, James Cameron ,7.7,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",Adventure
4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Avatar: El sentido del agua, James Cameron ,7.7,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",Fantasy
5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Avatar: El sentido del agua, James Cameron ,7.7,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",Action
6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Criminales en el mar, Kyle Newacheck ,6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Crime
7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Criminales en el mar, Kyle Newacheck ,6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Action
8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Criminales en el mar, Kyle Newacheck ,6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Comedy
9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Todo a la vez en todas partes, Daniel Kwan| Daniel Scheinert ,7.9,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,Adventure
10,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Todo a la vez en todas partes, Daniel Kwan| Daniel Scheinert ,7.9,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,Action
